nm0004734,Tyson Beckford,Tyson Craig Beckford,184,"December 19, 1970 in The Bronx, New York, USA",1970-12-19,"The Bronx, New York, USA",,
nm0004740,Bill Bellamy,Bill Bellamy,188,"April 7, 1965 in Newark, New Jersey, USA",1965-04-07,"Newark, New Jersey, USA",,
nm0004741,Camilla Belle,Camilla Belle Routh,173,"October 2, 1986 in Los Angeles, California, USA",1986-10-02,"Los Angeles, California, USA",,
nm0004742,Maria Bello,Maria Elaina Bello,165,"April 18, 1967 in Norristown, Pennsylvania, USA",1967-04-18,"Norristown, Pennsylvania, USA",,
nm0004743,Gil Bellows,Gil Bellows,180,"June 28, 1967 in Vancouver, British Columbia, Canada",1967-06-28,"Vancouver, British Columbia, Canada",,
nm0004744,Lawrence Bender,Lawrence Kirk Bender,180,"October 17, 1957 in The Bronx, New York City, New York, USA",1957-10-17,"The Bronx, New York City, New York, USA",,
nm0004747,Wes Bentley,Wesley Cook Bentley,180,"September 4, 1978 in Jonesboro, Arkansas, USA",1978-09-04,"Jonesboro, Arkansas, USA",,
nm0004753,Leslie Bibb,Leslie Louise Bibb,175,"November 17, 1974 in Bismarck, North Dakota, USA",1974-11-17,"Bismarck, North Dakota, USA",,
nm0004755,Jason Biggs,Jason Matthew Biggs,175,"May 12, 1978 in Pompton Plains, New Jersey, USA",1978-05-12,"Pompton Plains, New Jersey, USA",,
nm0004757,Selma Blair,Selma Blair Beitner,163,"June 23, 1972 in Southfield, Michigan, USA",1972-06-23,"Southfield, Michigan, USA",,
nm0005687,Peter Deming,Peter Deming,,"December 13, 1957 in Beirut, Lebanon",1957-12-13,"Beirut, Lebanon",,
nm0004770,David Boreanaz,David Paul Boreanaz,185,"May 16, 1969 in Buffalo, New York, USA",1969-05-16,"Buffalo, New York, USA",,
nm0004778,Adrien Brody,Adrien Brody,183,"April 14, 1973 in Woodhaven, Queens, New York City, New York, USA",1973-04-14,"Woodhaven, Queens, New York City, New York, USA",,
nm0004789,Amanda Bynes,Amanda Laura Bynes,173,"April 3, 1986 in Thousand Oaks, California, USA",1986-04-03,"Thousand Oaks, California, USA",,
nm0004790,Scott Caan,Scott Andrew Caan,165,"August 23, 1976 in Los Angeles, California, USA",1976-08-23,"Los Angeles, California, USA",,
nm0004793,Monica Calhoun,Monica Calhoun,155,"July 29, 1971 in Philadelphia, Pennsylvania, USA",1971-07-29,"Philadelphia, Pennsylvania, USA",,
nm0004798,Stephen J. Cannell,Stephen Joseph Cannell,185,"February 5, 1941 in Los Angeles, California, USA",1941-02-05,"Los Angeles, California, USA",2010-09-30,"Pasadena, California, USA  "
nm0004799,Mark Canton,Mark Clifford Canton,,"June 19, 1949 in New York City, New York, USA",1949-06-19,"New York City, New York, USA",,
nm0004802,Linda Cardellini,Linda Edna Cardellini,160,"June 25, 1975 in Redwood City, California, USA",1975-06-25,"Redwood City, California, USA",,
nm0004805,Adam Carolla,Adam Carolla,188,"May 27, 1964 in Los Angeles, California, USA",1964-05-27,"Los Angeles, California, USA",,
nm0004820,Morris Chestnut,Morris Chester Chestnut Jr.,183,"January 1, 1969 in Cerritos, California, USA",1969-01-01,"Cerritos, California, USA",,
nm0004821,Michael Chiklis,Michael Charles Chiklis,175,"August 30, 1963 in Lowell, Massachusetts, USA",1963-08-30,"Lowell, Massachusetts, USA",,
nm0004825,Emmanuelle Chriqui,Emmanuelle Sophie Anne Chriqui,160,"December 10, 1975 in Montreal, Quebec, Canada",1975-12-10,"Montreal, Quebec, Canada",,
nm0004829,Spencer Treat Clark,Spencer Treat Clark,183,"September 24, 1987 in New York City, New York, USA",1987-09-24,"New York City, New York, USA",,
nm0004851,Penélope Cruz,Penélope Cruz Sánchez,168,"April 28, 1974 in Alcobendas, Madrid, Spain",1974-04-28,"Alcobendas, Madrid, Spain",,
nm0004854,Billy Ray Cyrus,William Ray Cyrus,183,"August 25, 1961 in Flatwoods, Kentucky, USA",1961-08-25,"Flatwoods, Kentucky, USA",,
nm0004862,Kristin Davis,Kristin Lee Davis,168,"February 23, 1965 in Boulder, Colorado, USA",1965-02-23,"Boulder, Colorado, USA",,
nm0004873,Andy Dick,Andrew Roane Dick,178,"December 21, 1965 in Charleston, South Carolina, USA",1965-12-21,"Charleston, South Carolina, USA",,
nm0004874,Vin Diesel,Mark Sinclair,182,"July 18, 1967 in Alameda County, California, USA",1967-07-18,"Alameda County, California, USA",,
nm0004875,Taye Diggs,Scott Leo Berry,178,"January 2, 1971 in Newark, New Jersey, USA",1971-01-02,"Newark, New Jersey, USA",,
nm0004879,Snoop Dogg,Calvin Cordozar Broadus,193,"October 20, 1971 in Long Beach, California, USA",1971-10-20,"Long Beach, California, USA",,
nm0004883,Tate Donovan,Tate Buckley Donovan,183,"September 25, 1963 in Tenafly, New Jersey, USA",1963-09-25,"Tenafly, New Jersey, USA",,
